,confirmed,newlyconfirmed,date
2020-01-22,0,0.0,2020-01-22
2020-01-23,0,0.0,2020-01-23
2020-01-24,0,0.0,2020-01-24
2020-01-25,0,0.0,2020-01-25
2020-01-26,0,0.0,2020-01-26
2020-01-27,0,0.0,2020-01-27
2020-01-28,0,0.0,2020-01-28
2020-01-29,0,0.0,2020-01-29
2020-01-30,0,0.0,2020-01-30
2020-01-31,0,0.0,2020-01-31
2020-02-01,0,0.0,2020-02-01
2020-02-02,0,0.0,2020-02-02
2020-02-03,0,0.0,2020-02-03
2020-02-04,0,0.0,2020-02-04
2020-02-05,0,0.0,2020-02-05
2020-02-06,0,0.0,2020-02-06
2020-02-07,0,0.0,2020-02-07
2020-02-08,0,0.0,2020-02-08
2020-02-09,0,0.0,2020-02-09
2020-02-10,0,0.0,2020-02-10
2020-02-11,0,0.0,2020-02-11
2020-02-12,0,0.0,2020-02-12
2020-02-13,0,0.0,2020-02-13
2020-02-14,0,0.0,2020-02-14
2020-02-15,0,0.0,2020-02-15
2020-02-16,0,0.0,2020-02-16
2020-02-17,0,0.0,2020-02-17
2020-02-18,0,0.0,2020-02-18
2020-02-19,0,0.0,2020-02-19
2020-02-20,0,0.0,2020-02-20
2020-02-21,0,0.0,2020-02-21
2020-02-22,0,0.0,2020-02-22
2020-02-23,0,0.0,2020-02-23
2020-02-24,0,0.0,2020-02-24
2020-02-25,0,0.0,2020-02-25
2020-02-26,0,0.0,2020-02-26
2020-02-27,0,0.0,2020-02-27
2020-02-28,0,0.0,2020-02-28
2020-02-29,0,0.0,2020-02-29
2020-03-01,0,0.0,2020-03-01
2020-03-02,0,0.0,2020-03-02
2020-03-03,0,0.0,2020-03-03
2020-03-04,0,0.0,2020-03-04
2020-03-05,0,0.0,2020-03-05
2020-03-06,0,0.0,2020-03-06
2020-03-07,0,0.0,2020-03-07
2020-03-08,0,0.0,2020-03-08
2020-03-09,0,0.0,2020-03-09
2020-03-10,0,0.0,2020-03-10
2020-03-11,0,0.0,2020-03-11
2020-03-12,0,0.0,2020-03-12
2020-03-13,0,0.0,2020-03-13
2020-03-14,0,0.0,2020-03-14
2020-03-15,0,0.0,2020-03-15
2020-03-16,0,0.0,2020-03-16
2020-03-17,2,2.0,2020-03-17
2020-03-18,4,2.0,2020-03-18
2020-03-19,4,0.0,2020-03-19
2020-03-20,4,0.0,2020-03-20
2020-03-21,5,1.0,2020-03-21
2020-03-22,6,1.0,2020-03-22
2020-03-23,7,1.0,2020-03-23
2020-03-24,8,1.0,2020-03-24
2020-03-25,12,4.0,2020-03-25
2020-03-26,15,3.0,2020-03-26
2020-03-27,18,3.0,2020-03-27
2020-03-28,19,1.0,2020-03-28
2020-03-29,19,0.0,2020-03-29
2020-03-30,20,1.0,2020-03-30
2020-03-31,27,7.0,2020-03-31
2020-04-01,35,8.0,2020-04-01
2020-04-02,37,2.0,2020-04-02
2020-04-03,40,3.0,2020-04-03
2020-04-04,42,2.0,2020-04-04
2020-04-05,44,2.0,2020-04-05
2020-04-06,45,1.0,2020-04-06
2020-04-07,48,3.0,2020-04-07
2020-04-08,53,5.0,2020-04-08
2020-04-09,54,1.0,2020-04-09
2020-04-10,58,4.0,2020-04-10
2020-04-11,58,0.0,2020-04-11
2020-04-12,58,0.0,2020-04-12
2020-04-13,60,2.0,2020-04-13
2020-04-14,62,2.0,2020-04-14
2020-04-15,64,2.0,2020-04-15
2020-04-16,67,3.0,2020-04-16
2020-04-17,69,2.0,2020-04-17
2020-04-18,70,1.0,2020-04-18
2020-04-19,71,1.0,2020-04-19
2020-04-20,73,2.0,2020-04-20
2020-04-21,76,3.0,2020-04-21
2020-04-22,78,2.0,2020-04-22
2020-04-23,81,3.0,2020-04-23
2020-04-24,83,2.0,2020-04-24
2020-04-25,85,2.0,2020-04-25
2020-04-26,85,0.0,2020-04-26
2020-04-27,89,4.0,2020-04-27
2020-04-28,92,3.0,2020-04-28
2020-04-29,96,4.0,2020-04-29
2020-04-30,98,2.0,2020-04-30
2020-05-01,98,0.0,2020-05-01
2020-05-02,99,1.0,2020-05-02
2020-05-03,101,2.0,2020-05-03
2020-05-04,104,3.0,2020-05-04
2020-05-05,108,4.0,2020-05-05
2020-05-06,109,1.0,2020-05-06
2020-05-07,109,0.0,2020-05-07
2020-05-08,109,0.0,2020-05-08
2020-05-09,109,0.0,2020-05-09
2020-05-10,110,1.0,2020-05-10
2020-05-11,111,1.0,2020-05-11
2020-05-12,111,0.0,2020-05-12
2020-05-13,112,1.0,2020-05-13
2020-05-14,112,0.0,2020-05-14
2020-05-15,116,4.0,2020-05-15
2020-05-16,119,3.0,2020-05-16
2020-05-17,119,0.0,2020-05-17
2020-05-18,119,0.0,2020-05-18
2020-05-19,182,63.0,2020-05-19
2020-05-20,182,0.0,2020-05-20
2020-05-21,182,0.0,2020-05-21
2020-05-22,182,0.0,2020-05-22
2020-05-23,182,0.0,2020-05-23
2020-05-24,182,0.0,2020-05-24
2020-05-25,183,1.0,2020-05-25
2020-05-26,183,0.0,2020-05-26
2020-05-27,185,2.0,2020-05-27
2020-05-28,188,3.0,2020-05-28
2020-05-29,188,0.0,2020-05-29
2020-05-30,188,0.0,2020-05-30
2020-05-31,188,0.0,2020-05-31
2020-06-01,188,0.0,2020-06-01
2020-06-02,188,0.0,2020-06-02
2020-06-03,188,0.0,2020-06-03
2020-06-04,188,0.0,2020-06-04
2020-06-05,188,0.0,2020-06-05
2020-06-06,188,0.0,2020-06-06
2020-06-07,188,0.0,2020-06-07
2020-06-08,188,0.0,2020-06-08
2020-06-09,188,0.0,2020-06-09
2020-06-10,188,0.0,2020-06-10
2020-06-11,188,0.0,2020-06-11
2020-06-12,191,3.0,2020-06-12
2020-06-13,195,4.0,2020-06-13
2020-06-14,195,0.0,2020-06-14
2020-06-15,196,1.0,2020-06-15
2020-06-16,196,0.0,2020-06-16
2020-06-17,197,1.0,2020-06-17
2020-06-18,203,6.0,2020-06-18
2020-06-19,204,1.0,2020-06-19
2020-06-20,204,0.0,2020-06-20
2020-06-21,204,0.0,2020-06-21
2020-06-22,211,7.0,2020-06-22
2020-06-23,215,4.0,2020-06-23
2020-06-24,219,4.0,2020-06-24
2020-06-25,225,6.0,2020-06-25
2020-06-26,240,15.0,2020-06-26
2020-06-27,246,6.0,2020-06-27
2020-06-28,250,4.0,2020-06-28
2020-06-29,256,6.0,2020-06-29
2020-06-30,261,5.0,2020-06-30
2020-07-01,270,9.0,2020-07-01
2020-07-02,282,12.0,2020-07-02
2020-07-03,286,4.0,2020-07-03
2020-07-04,287,1.0,2020-07-04
2020-07-05,288,1.0,2020-07-05
2020-07-06,292,4.0,2020-07-06
2020-07-07,298,6.0,2020-07-07
2020-07-08,302,4.0,2020-07-08
2020-07-09,307,5.0,2020-07-09
2020-07-10,310,3.0,2020-07-10
2020-07-11,323,13.0,2020-07-11
2020-07-12,329,6.0,2020-07-12
2020-07-13,338,9.0,2020-07-13
2020-07-14,352,14.0,2020-07-14
2020-07-15,357,5.0,2020-07-15
2020-07-16,359,2.0,2020-07-16
2020-07-17,367,8.0,2020-07-17
2020-07-18,372,5.0,2020-07-18
2020-07-19,373,1.0,2020-07-19
2020-07-20,383,10.0,2020-07-20
2020-07-21,388,5.0,2020-07-21
2020-07-22,392,4.0,2020-07-22
2020-07-23,400,8.0,2020-07-23
2020-07-24,409,9.0,2020-07-24
2020-07-25,412,3.0,2020-07-25
2020-07-26,415,3.0,2020-07-26
2020-07-27,422,7.0,2020-07-27
2020-07-28,432,10.0,2020-07-28
2020-07-29,442,10.0,2020-07-29
2020-07-30,449,7.0,2020-07-30
2020-07-31,456,7.0,2020-07-31
2020-08-01,462,6.0,2020-08-01
2020-08-02,473,11.0,2020-08-02
2020-08-03,479,6.0,2020-08-03
2020-08-04,484,5.0,2020-08-04
2020-08-05,489,5.0,2020-08-05
2020-08-06,492,3.0,2020-08-06
2020-08-07,496,4.0,2020-08-07
2020-08-08,498,2.0,2020-08-08
2020-08-09,502,4.0,2020-08-09
2020-08-10,503,1.0,2020-08-10
2020-08-11,503,0.0,2020-08-11
2020-08-12,504,1.0,2020-08-12
2020-08-13,509,5.0,2020-08-13
2020-08-14,512,3.0,2020-08-14
2020-08-15,512,0.0,2020-08-15
2020-08-16,517,5.0,2020-08-16
2020-08-17,523,6.0,2020-08-17
2020-08-18,528,5.0,2020-08-18
2020-08-19,533,5.0,2020-08-19
2020-08-20,534,1.0,2020-08-20
2020-08-21,538,4.0,2020-08-21
2020-08-22,539,1.0,2020-08-22
2020-08-23,541,2.0,2020-08-23
2020-08-24,545,4.0,2020-08-24
2020-08-25,552,7.0,2020-08-25
2020-08-26,560,8.0,2020-08-26
2020-08-27,560,0.0,2020-08-27
2020-08-28,563,3.0,2020-08-28
2020-08-29,563,0.0,2020-08-29
2020-08-30,568,5.0,2020-08-30
2020-08-31,570,2.0,2020-08-31
2020-09-01,572,2.0,2020-09-01
2020-09-02,577,5.0,2020-09-02
2020-09-03,580,3.0,2020-09-03
2020-09-04,583,3.0,2020-09-04
2020-09-05,583,0.0,2020-09-05
2020-09-06,587,4.0,2020-09-06
2020-09-07,587,0.0,2020-09-07
2020-09-08,592,5.0,2020-09-08
2020-09-09,597,5.0,2020-09-09
2020-09-10,603,6.0,2020-09-10
2020-09-11,616,13.0,2020-09-11
2020-09-12,619,3.0,2020-09-12
2020-09-13,624,5.0,2020-09-13
2020-09-14,624,0.0,2020-09-14
2020-09-15,627,3.0,2020-09-15
2020-09-16,631,4.0,2020-09-16
2020-09-17,635,4.0,2020-09-17
2020-09-18,638,3.0,2020-09-18
2020-09-19,641,3.0,2020-09-19
2020-09-20,647,6.0,2020-09-20
2020-09-21,652,5.0,2020-09-21
2020-09-22,654,2.0,2020-09-22
2020-09-23,661,7.0,2020-09-23
2020-09-24,672,11.0,2020-09-24
2020-09-25,678,6.0,2020-09-25
2020-09-26,680,2.0,2020-09-26
2020-09-27,695,15.0,2020-09-27
2020-09-28,704,9.0,2020-09-28
2020-09-29,707,3.0,2020-09-29
2020-09-30,718,11.0,2020-09-30
2020-10-01,725,7.0,2020-10-01
2020-10-02,741,16.0,2020-10-02
2020-10-03,754,13.0,2020-10-03
2020-10-04,769,15.0,2020-10-04
2020-10-05,784,15.0,2020-10-05
2020-10-06,808,24.0,2020-10-06
2020-10-07,831,23.0,2020-10-07
2020-10-08,863,32.0,2020-10-08
2020-10-09,883,20.0,2020-10-09
2020-10-10,918,35.0,2020-10-10
2020-10-11,938,20.0,2020-10-11
2020-10-12,960,22.0,2020-10-12
2020-10-13,992,32.0,2020-10-13
2020-10-14,1037,45.0,2020-10-14
2020-10-15,1084,47.0,2020-10-15
2020-10-16,1110,26.0,2020-10-16
2020-10-17,1133,23.0,2020-10-17
2020-10-18,1155,22.0,2020-10-18
2020-10-19,1188,33.0,2020-10-19
2020-10-20,1227,39.0,2020-10-20
2020-10-21,1280,53.0,2020-10-21
2020-10-22,1308,28.0,2020-10-22
2020-10-23,1308,0.0,2020-10-23
2020-10-24,1327,19.0,2020-10-24
2020-10-25,1335,8.0,2020-10-25
2020-10-26,1350,15.0,2020-10-26
2020-10-27,1369,19.0,2020-10-27
2020-10-28,1388,19.0,2020-10-28
2020-10-29,1399,11.0,2020-10-29
2020-10-30,1423,24.0,2020-10-30
2020-10-31,1423,0.0,2020-10-31
2020-11-01,1860,437.0,2020-11-01
2020-11-02,1942,82.0,2020-11-02
2020-11-03,2031,89.0,2020-11-03
2020-11-04,2086,55.0,2020-11-04
2020-11-05,2147,61.0,2020-11-05
2020-11-06,2249,102.0,2020-11-06
2020-11-07,2287,38.0,2020-11-07
2020-11-08,2342,55.0,2020-11-08
2020-11-09,2506,164.0,2020-11-09
2020-11-10,2755,249.0,2020-11-10
2020-11-11,2755,0.0,2020-11-11
2020-11-12,2971,216.0,2020-11-12
2020-11-13,3104,133.0,2020-11-13
2020-11-14,3264,160.0,2020-11-14
2020-11-15,3264,0.0,2020-11-15
2020-11-16,3434,170.0,2020-11-16
2020-11-17,3565,131.0,2020-11-17
2020-11-18,3627,62.0,2020-11-18
2020-11-19,3855,228.0,2020-11-19
2020-11-20,4006,151.0,2020-11-20
2020-11-21,4006,0.0,2020-11-21
2020-11-22,4177,171.0,2020-11-22
2020-11-23,4423,246.0,2020-11-23
2020-11-24,4466,43.0,2020-11-24
2020-11-25,4649,183.0,2020-11-25
2020-11-26,4649,0.0,2020-11-26
2020-11-27,4794,145.0,2020-11-27
2020-11-28,4794,0.0,2020-11-28
2020-11-29,4984,190.0,2020-11-29
2020-11-30,5150,166.0,2020-11-30
2020-12-01,5290,140.0,2020-12-01
2020-12-02,5457,167.0,2020-12-02
2020-12-03,5555,98.0,2020-12-03
2020-12-04,5682,127.0,2020-12-04
2020-12-05,5682,0.0,2020-12-05
2020-12-06,5763,81.0,2020-12-06
2020-12-07,5896,133.0,2020-12-07
2020-12-08,6073,177.0,2020-12-08
2020-12-09,6151,78.0,2020-12-09
2020-12-10,6201,50.0,2020-12-10
2020-12-11,6298,97.0,2020-12-11
2020-12-12,6312,14.0,2020-12-12
2020-12-13,6397,85.0,2020-12-13
2020-12-14,6458,61.0,2020-12-14
2020-12-15,6510,52.0,2020-12-15
2020-12-16,6547,37.0,2020-12-16
2020-12-17,6566,19.0,2020-12-17
2020-12-18,6629,63.0,2020-12-18
2020-12-19,6640,11.0,2020-12-19
2020-12-20,6679,39.0,2020-12-20
2020-12-21,6737,58.0,2020-12-21
2020-12-22,6781,44.0,2020-12-22
2020-12-23,6807,26.0,2020-12-23
2020-12-24,6807,0.0,2020-12-24
2020-12-25,6807,0.0,2020-12-25
2020-12-26,6863,56.0,2020-12-26
2020-12-27,6874,11.0,2020-12-27
2020-12-28,6951,77.0,2020-12-28
2020-12-29,6991,40.0,2020-12-29
2020-12-30,7012,21.0,2020-12-30
2020-12-31,7045,33.0,2020-12-31
2021-01-01,7045,0.0,2021-01-01
2021-01-02,7060,15.0,2021-01-02
2021-01-03,7098,38.0,2021-01-03
2021-01-04,7188,90.0,2021-01-04
2021-01-05,7251,63.0,2021-01-05
2021-01-06,7302,51.0,2021-01-06
2021-01-07,7345,43.0,2021-01-07
2021-01-08,7397,52.0,2021-01-08
2021-01-09,7413,16.0,2021-01-09
2021-01-10,7429,16.0,2021-01-10
2021-01-11,7497,68.0,2021-01-11
2021-01-12,7582,85.0,2021-01-12
2021-01-13,7604,22.0,2021-01-13
2021-01-14,7671,67.0,2021-01-14
2021-01-15,7706,35.0,2021-01-15
2021-01-16,7728,22.0,2021-01-16
2021-01-17,7754,26.0,2021-01-17
2021-01-18,7789,35.0,2021-01-18
2021-01-19,7813,24.0,2021-01-19
2021-01-20,7848,35.0,2021-01-20
2021-01-21,7871,23.0,2021-01-21
2021-01-22,7885,14.0,2021-01-22
2021-01-23,7885,0.0,2021-01-23
2021-01-24,7910,25.0,2021-01-24
2021-01-25,7933,23.0,2021-01-25
2021-01-26,7939,6.0,2021-01-26
2021-01-27,7957,18.0,2021-01-27
2021-01-28,7959,2.0,2021-01-28
2021-01-29,7984,25.0,2021-01-29
2021-01-30,7984,0.0,2021-01-30
2021-01-31,7995,11.0,2021-01-31
2021-02-01,8002,7.0,2021-02-01
2021-02-02,8002,0.0,2021-02-02
2021-02-03,8010,8.0,2021-02-03
2021-02-04,8019,9.0,2021-02-04
2021-02-05,8032,13.0,2021-02-05
2021-02-06,8032,0.0,2021-02-06
2021-02-07,8032,0.0,2021-02-07
2021-02-08,8037,5.0,2021-02-08
2021-02-09,8039,2.0,2021-02-09
2021-02-10,8043,4.0,2021-02-10
2021-02-11,8052,9.0,2021-02-11
2021-02-12,8059,7.0,2021-02-12
2021-02-13,8059,0.0,2021-02-13
2021-02-14,8068,9.0,2021-02-14
2021-02-15,8068,0.0,2021-02-15
2021-02-16,8098,30.0,2021-02-16
2021-02-17,8109,11.0,2021-02-17
2021-02-18,8116,7.0,2021-02-18
2021-02-19,8122,6.0,2021-02-19
2021-02-20,8122,0.0,2021-02-20
2021-02-21,8126,4.0,2021-02-21
2021-02-22,8135,9.0,2021-02-22
2021-02-23,8141,6.0,2021-02-23
2021-02-24,8145,4.0,2021-02-24
2021-02-25,8170,25.0,2021-02-25
2021-02-26,8181,11.0,2021-02-26
2021-02-27,8181,0.0,2021-02-27
2021-02-28,8188,7.0,2021-02-28
2021-03-01,8198,10.0,2021-03-01
2021-03-02,8215,17.0,2021-03-02
2021-03-03,8226,11.0,2021-03-03
2021-03-04,8243,17.0,2021-03-04
2021-03-05,8254,11.0,2021-03-05
2021-03-06,8254,0.0,2021-03-06
2021-03-07,8254,0.0,2021-03-07
2021-03-08,8276,22.0,2021-03-08
2021-03-09,8297,21.0,2021-03-09
2021-03-10,8314,17.0,2021-03-10
2021-03-11,8340,26.0,2021-03-11
2021-03-12,8356,16.0,2021-03-12
2021-03-13,8356,0.0,2021-03-13
2021-03-14,8356,0.0,2021-03-14
2021-03-15,8389,33.0,2021-03-15
2021-03-16,8390,1.0,2021-03-16
2021-03-17,8402,12.0,2021-03-17
2021-03-18,8403,1.0,2021-03-18
2021-03-19,8417,14.0,2021-03-19
2021-03-20,8417,0.0,2021-03-20
2021-03-21,8417,0.0,2021-03-21
2021-03-22,8469,52.0,2021-03-22
2021-03-23,8495,26.0,2021-03-23
2021-03-24,8519,24.0,2021-03-24
2021-03-25,8528,9.0,2021-03-25
2021-03-26,8561,33.0,2021-03-26
2021-03-27,8561,0.0,2021-03-27
2021-03-28,8561,0.0,2021-03-28
2021-03-29,8590,29.0,2021-03-29
2021-03-30,8600,10.0,2021-03-30
2021-03-31,8614,14.0,2021-03-31
2021-04-01,8644,30.0,2021-04-01
2021-04-02,8656,12.0,2021-04-02
2021-04-03,8656,0.0,2021-04-03
2021-04-04,8656,0.0,2021-04-04
2021-04-05,8679,23.0,2021-04-05
2021-04-06,8709,30.0,2021-04-06
2021-04-07,8730,21.0,2021-04-07
2021-04-08,8751,21.0,2021-04-08
2021-04-09,8758,7.0,2021-04-09
2021-04-10,8758,0.0,2021-04-10
2021-04-11,8758,0.0,2021-04-11
2021-04-12,8776,18.0,2021-04-12
2021-04-13,8786,10.0,2021-04-13
2021-04-14,8797,11.0,2021-04-14
2021-04-15,8820,23.0,2021-04-15
2021-04-16,8836,16.0,2021-04-16
2021-04-17,8836,0.0,2021-04-17
2021-04-18,8836,0.0,2021-04-18
2021-04-19,8871,35.0,2021-04-19
2021-04-20,8889,18.0,2021-04-20
2021-04-21,8912,23.0,2021-04-21
2021-04-22,8933,21.0,2021-04-22
2021-04-23,8955,22.0,2021-04-23
2021-04-24,8955,0.0,2021-04-24
2021-04-25,8955,0.0,2021-04-25
2021-04-26,8979,24.0,2021-04-26
2021-04-27,8993,14.0,2021-04-27
2021-04-28,9010,17.0,2021-04-28
2021-04-29,9030,20.0,2021-04-29
2021-04-30,9030,0.0,2021-04-30
2021-05-01,9044,14.0,2021-05-01
2021-05-02,9044,0.0,2021-05-02
2021-05-03,9072,28.0,2021-05-03
2021-05-04,9091,19.0,2021-05-04
2021-05-05,9109,18.0,2021-05-05
2021-05-06,9130,21.0,2021-05-06
2021-05-07,9148,18.0,2021-05-07
2021-05-08,9148,0.0,2021-05-08
2021-05-09,9148,0.0,2021-05-09
2021-05-10,9170,22.0,2021-05-10
2021-05-11,9170,0.0,2021-05-11
2021-05-12,9189,19.0,2021-05-12
2021-05-13,9200,11.0,2021-05-13
2021-05-14,9212,12.0,2021-05-14
2021-05-15,9212,0.0,2021-05-15
2021-05-16,9212,0.0,2021-05-16
2021-05-17,9237,25.0,2021-05-17
2021-05-18,9269,32.0,2021-05-18
2021-05-19,9269,0.0,2021-05-19
2021-05-20,9409,140.0,2021-05-20
2021-05-21,9418,9.0,2021-05-21
2021-05-22,9418,0.0,2021-05-22
2021-05-23,9418,0.0,2021-05-23
2021-05-24,9460,42.0,2021-05-24
2021-05-25,9480,20.0,2021-05-25
2021-05-26,9501,21.0,2021-05-26
2021-05-27,9501,0.0,2021-05-27
2021-05-28,9533,32.0,2021-05-28
2021-05-29,9533,0.0,2021-05-29
2021-05-30,9533,0.0,2021-05-30
2021-05-31,9533,0.0,2021-05-31
2021-06-01,9594,61.0,2021-06-01
2021-06-02,9628,34.0,2021-06-02
2021-06-03,9655,27.0,2021-06-03
2021-06-04,9675,20.0,2021-06-04
2021-06-05,9675,0.0,2021-06-05
2021-06-06,9675,0.0,2021-06-06
2021-06-07,9735,60.0,2021-06-07
2021-06-08,9767,32.0,2021-06-08
2021-06-09,9797,30.0,2021-06-09
2021-06-10,9822,25.0,2021-06-10
2021-06-11,9876,54.0,2021-06-11
2021-06-12,9876,0.0,2021-06-12
2021-06-13,9876,0.0,2021-06-13
2021-06-14,9932,56.0,2021-06-14
2021-06-15,9973,41.0,2021-06-15
2021-06-16,10006,33.0,2021-06-16
